pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
nominal,central,0,q,0.1,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,0.16,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,0.24,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,0.26,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,0.4,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,0.8,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,1.2,0,q,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,q,1.6,0,q,low_node_charge_injection,bracketed,3.859375,3.8562499999999997,3.8625,13
nominal,central,0,q,1.69,0,q,low_node_charge_injection,bracketed,2.684375,2.6812500000000004,2.6875,11
nominal,central,0,q,1.74,0,q,low_node_charge_injection,bracketed,2.3656250000000005,2.3625000000000007,2.3687500000000004,11
nominal,central,0,qb,0.1,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,0.16,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,0.24,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,0.26,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,0.4,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,0.8,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,1.2,qb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,qb,1.6,qb,0,high_charge_removal,bracketed,12.284375,12.28125,12.287500000000001,15
nominal,central,0,qb,1.69,qb,0,high_charge_removal,bracketed,1.3843750000000001,1.38125,1.3875000000000002,9
nominal,central,0,qb,1.74,qb,0,high_charge_removal,bracketed,1.4281250000000003,1.4250000000000003,1.4312500000000004,9
nominal,central,1,bl,0.1,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,0.16,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,0.24,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,0.26,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,0.4,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,0.8,bl,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,1,bl,1.2,bl,0,high_charge_removal,not_bracketed,,12.8,,7
