let_mev_cm2_mg,differential_flux_cm2_s_per_mev_cm2_mg,aps28_global_well_sram_sigma_cm2_per_bit,kintex7_blockram_sigma_cm2_per_bit,kintex7_configuration_sram_sigma_cm2_per_bit,pointwise_low_sigma_cm2_per_bit,pointwise_median_sigma_cm2_per_bit,pointwise_high_sigma_cm2_per_bit
0.011554,497.58619715761625,0.0,0.0,0.0,0.0,0.0,0.0
0.011684,441.1060674366856,0.0,0.0,0.0,0.0,0.0,0.0
0.011814999999999999,307.92708510756574,0.0,0.0,0.0,0.0,0.0,0.0
0.011947,307.7198770685162,0.0,0.0,0.0,0.0,0.0,0.0
0.012081,307.680029368699,0.0,0.0,0.0,0.0,0.0,0.0
0.012216,307.680029368699,0.0,0.0,0.0,0.0,0.0,0.0
0.012353,307.680029368699,0.0,0.0,0.0,0.0,0.0,0.0
0.012491,307.680029368699,0.0,0.0,0.0,0.0,0.0,0.0
0.012631,307.5843948891376,0.0,0.0,0.0,0.0,0.0,0.0
0.012773,307.4090650099419,0.0,0.0,0.0,0.0,0.0,0.0
0.012916,307.4090650099419,0.0,0.0,0.0,0.0,0.0,0.0
0.01306,307.4090650099419,0.0,0.0,0.0,0.0,0.0,0.0
0.013207,304.5639392429922,0.0,0.0,0.0,0.0,0.0,0.0
0.013354,302.76282321125376,0.0,0.0,0.0,0.0,0.0,0.0
0.013504,302.76282321125376,0.0,0.0,0.0,0.0,0.0,0.0
0.013654999999999999,302.76282321125376,0.0,0.0,0.0,0.0,0.0,0.0
0.013807999999999999,302.7309450514,0.0,0.0,0.0,0.0,0.0,0.0
0.013963,302.7229755114366,0.0,0.0,0.0,0.0,0.0,0.0
0.014119,251.36725998700066,0.0,0.0,0.0,0.0,0.0,0.0
0.014277,235.38833236029458,0.0,0.0,0.0,0.0,0.0,0.0
0.014437,235.36442374040428,0.0,0.0,0.0,0.0,0.0,0.0
0.014599,235.20503294113539,0.0,0.0,0.0,0.0,0.0,0.0
0.014763,235.20503294113539,0.0,0.0,0.0,0.0,0.0,0.0
0.014928,235.34848466047734,0.0,0.0,0.0,0.0,0.0,0.0
0.015095,235.6592967190517,0.0,0.0,0.0,0.0,0.0,0.0
0.015264,235.45208868000213,0.0,0.0,0.0,0.0,0.0,0.0
0.015435,235.78680935846683,0.0,0.0,0.0,0.0,0.0,0.0
0.015608,205.02438509957133,0.0,0.0,0.0,0.0,0.0,0.0
0.015783,191.7630706003998,0.0,0.0,0.0,0.0,0.0,0.0
0.015960000000000002,191.7630706003998,0.0,0.0,0.0,0.0,0.0,0.0
0.016138000000000003,191.7630706003998,0.0,0.0,0.0,0.0,0.0,0.0
0.016319,191.74713152047292,0.0,0.0,0.0,0.0,0.0,0.0
0.016502,191.74713152047292,0.0,0.0,0.0,0.0,0.0,0.0
0.016687,191.74713152047292,0.0,0.0,0.0,0.0,0.0,0.0
0.016874,179.86454743497725,0.0,0.0,0.0,0.0,0.0,0.0
0.017063,132.45375419244638,0.0,0.0,0.0,0.0,0.0,0.0
0.017254000000000002,132.44578465248293,0.0,0.0,0.0,0.0,0.0,0.0
0.017447,132.44578465248293,0.0,0.0,0.0,0.0,0.0,0.0
0.017641999999999998,132.44578465248293,0.0,0.0,0.0,0.0,0.0,0.0
0.017839999999999998,132.44578465248293,0.0,0.0,0.0,0.0,0.0,0.0
0.01804,132.44578465248293,0.0,0.0,0.0,0.0,0.0,0.0
0.018242,132.44578465248293,0.0,0.0,0.0,0.0,0.0,0.0
0.018446,132.4378151125195,0.0,0.0,0.0,0.0,0.0,0.0
0.018653,132.4059369526657,0.0,0.0,0.0,0.0,0.0,0.0
0.018861999999999997,131.95167317474937,0.0,0.0,0.0,0.0,0.0,0.0
0.019073,131.31410997767384,0.0,0.0,0.0,0.0,0.0,0.0
0.019287,131.31410997767384,0.0,0.0,0.0,0.0,0.0,0.0
0.019503,131.31410997767384,0.0,0.0,0.0,0.0,0.0,0.0
0.019721,131.31410997767384,0.0,0.0,0.0,0.0,0.0,0.0
0.019942,131.31410997767384,0.0,0.0,0.0,0.0,0.0,0.0
0.020165,109.93980379571587,0.0,0.0,0.0,0.0,0.0,0.0
0.020391,82.15001794318515,0.0,0.0,0.0,0.0,0.0,0.0
0.02062,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.020850999999999998,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.021084,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.02132,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.021559000000000002,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.021800999999999997,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.022045000000000002,82.11813978333139,0.0,0.0,0.0,0.0,0.0,0.0
0.022292000000000003,79.83885135378627,0.0,0.0,0.0,0.0,0.0,0.0
0.022541000000000002,79.28815614231226,0.0,0.0,0.0,0.0,0.0,0.0
0.022794000000000002,79.28815614231226,0.0,0.0,0.0,0.0,0.0,0.0
0.023049,79.28815614231226,0.0,0.0,0.0,0.0,0.0,0.0
