level	proton_energy_mev	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
nominal	31.651635239541	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	36.90758589290662	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	43.03631980254152	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	50.18276804993071	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	58.51592842296028	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	68.23286184201899	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	79.56335241748049	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	92.77534133867852	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	108.18126309390202	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	126.14543385908233	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	147.09266677431748	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	171.51831784058382	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	200.0	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
